model,evaluation,unit,n_variants,n_rows,n_carriers,nll_per_carrier,brier_per_carrier,brier_per_variant,mean_variant_log_loss,lpd_per_row,lpd_per_carrier,calibration_intercept,calibration_slope,cv_max_r_hat,cv_divergences,delta,delta_ci_lower,delta_ci_upper
base,oof_prior_predictive,variant_x_paper_rows,391,555.0,2072,1.1673909003825407,0.4086300844048548,0.09912165727724662,0.39176787760705856,-0.6090941636279988,-0.16315022240035684,-8.464017841868813,4.450087549511882,1.04,0.0,,,
class,oof_prior_predictive,variant_x_paper_rows,391,555.0,2072,1.145643477017082,0.40355694916856233,0.09772369454136565,0.3839247811718636,-0.6560477409643238,-0.17572707347258676,-2.663507732386543,1.3407570643923457,1.03,2.0,,,
insilico,oof_prior_predictive,variant_x_paper_rows,391,555.0,2072,0.6002115822928488,0.19759501840450525,0.0925219920209727,0.3683246782320265,-0.561759960714445,-0.15047141804851208,-2.83684585558587,2.227994605268365,1.02,0.0,,,
clinvar,oof_prior_predictive,variant_x_paper_rows,391,555.0,2072,0.4242921739633242,0.11362684942187994,0.08717967598944569,0.3501308261713114,-0.5570446705194654,-0.1492083938891425,-2.309897800135166,2.1266915491081737,1.01,0.0,,,
insilico_clinvar,oof_prior_predictive,variant_x_paper_rows,391,555.0,2072,0.3194598310085891,0.07098589523211193,0.08869827150088014,0.35467250537408557,-0.5515531327364243,-0.14773744626868507,-1.2729626005143793,1.5810827729363224,1.02,0.0,,,
class,delta_nll_per_carrier_vs_base,variant_x_paper_rows,391,555.0,2072,,,,,,,,,,,-0.021747423365458766,-0.02907519666131094,-0.004179499480404528
insilico,delta_nll_per_carrier_vs_base,variant_x_paper_rows,391,555.0,2072,,,,,,,,,,,-0.5671793180896919,-0.8670080207766702,-0.024692012035635952
clinvar,delta_nll_per_carrier_vs_base,variant_x_paper_rows,391,555.0,2072,,,,,,,,,,,-0.7430987264192165,-1.1379649923579804,-0.03860179964423167
insilico_clinvar,delta_nll_per_carrier_vs_base,variant_x_paper_rows,391,555.0,2072,,,,,,,,,,,-0.8479310693739516,-1.2969450613837037,-0.03880688706852379
base,delta_nll_per_carrier_vs_clinvar,variant_x_paper_rows,391,555.0,2072,,,,,,,,,,,0.7430987264192165,0.044062677057637334,1.1345982815605387
class,delta_nll_per_carrier_vs_clinvar,variant_x_paper_rows,391,555.0,2072,,,,,,,,,,,0.7213513030537577,0.03453658290257116,1.106018189999623
insilico,delta_nll_per_carrier_vs_clinvar,variant_x_paper_rows,391,555.0,2072,,,,,,,,,,,0.17591940832952463,-0.00989862122801748,0.2732868526394568
insilico_clinvar,delta_nll_per_carrier_vs_clinvar,variant_x_paper_rows,391,555.0,2072,,,,,,,,,,,-0.10483234295473505,-0.16372785834942774,0.010782639624746102
posterior_from_half_A,split_paper_half_B,alternating,27,,153,0.2822042944840945,0.03750166320862715,0.0383070057425805,0.24976404983652672,,,,,,,,,
prior_only,split_paper_half_B,alternating,27,,153,0.2378516818100205,0.02297333002601806,0.025205801105649402,0.21144965648702407,,,,,,,,,
pooled_rate_half_A,split_paper_half_B,alternating,27,,153,0.2663038075903266,0.025783503179636454,0.028046682128156204,0.24409827180996355,,,,,,,,,
clinvar_class_rate_half_A,split_paper_half_B,alternating,27,,153,0.2711149486187814,0.028685001757829617,0.032299672696964245,0.2527105991190074,,,,,,,,,
posterior_from_half_A,split_delta_nll_vs_clinvar_class_rate,alternating,27,,153,,,,,,,,,,,0.011089345865313138,-0.05393462880479289,0.07385273694276134
posterior_from_half_A,split_delta_nll_vs_pooled_rate,alternating,27,,153,,,,,,,,,,,0.015900486893767905,-0.03965339992493462,0.06803514450198903
posterior_from_half_A,split_delta_nll_vs_prior_only,alternating,27,,153,,,,,,,,,,,0.044352612674074,-0.017234408823785463,0.10346918791699641
posterior_from_half_A,split_paper_half_B,design,10,,68,0.5044928744966465,0.07013808364355191,0.10071411940223793,0.5318624596035654,,,,,,,,,
prior_only,split_paper_half_B,design,10,,68,1.115953267091145,0.29094258025450126,0.10826070642993653,0.5588163481457687,,,,,,,,,
pooled_rate_half_A,split_paper_half_B,design,10,,68,0.6895157150403106,0.1596531760152076,0.16114939008054388,0.6578494678757704,,,,,,,,,
clinvar_class_rate_half_A,split_paper_half_B,design,10,,68,1.0050772520585785,0.2785610587580183,0.15227080493056144,0.6557954537683196,,,,,,,,,
posterior_from_half_A,split_delta_nll_vs_clinvar_class_rate,design,10,,68,,,,,,,,,,,-0.5005843775619321,-0.986806091164803,0.2741510704864127
posterior_from_half_A,split_delta_nll_vs_pooled_rate,design,10,,68,,,,,,,,,,,-0.1850228405436642,-0.3850935965682823,0.21298083080507726
posterior_from_half_A,split_delta_nll_vs_prior_only,design,10,,68,,,,,,,,,,,-0.6114603925944986,-1.24716401343292,0.34020091866086255
