scorer,high_threshold,min_carriers,n_variants,n_high,auc,auc_ci_lower,auc_ci_upper,sensitivity,specificity,ppv,npv,tp,fp,fn,tn
clinvar_ordinal,0.25,5,207,160,0.8271276595744681,0.7612962794306255,0.8815905054745061,,,,,,,,
clinvar_plp_binary,0.25,5,207,160,0.816156914893617,0.7485880054637913,0.8772782212030015,0.78125,0.851063829787234,0.946969696969697,0.5333333333333333,125.0,7.0,35.0,40.0
alphamissense_missense_only,0.25,5,189,147,0.8428085519922255,0.7714558080808082,0.9049388450747864,,,,,,,,
insilico_posterior_mean_in_sample_LEAKY,0.25,5,259,206,0.9101483788239604,0.8746124825736293,0.9431594066197907,,,,,,,,
base_oof_prior,0.25,5,259,206,0.49248946693533613,0.40091402940486537,0.58365919690846,,,,,,,,
class_oof_prior,0.25,5,259,206,0.4985345301337241,0.4156245136685507,0.5772131081529206,,,,,,,,
insilico_oof_prior,0.25,5,259,206,0.7920864627221103,0.7257264283703913,0.8549522478466945,,,,,,,,
clinvar_oof_prior,0.25,5,259,206,0.7847591133907309,0.7030225024359877,0.8617787595278136,,,,,,,,
insilico_clinvar_oof_prior,0.25,5,259,206,0.8018867924528302,0.7252839186505681,0.8729947335127319,,,,,,,,
split_alternating_posterior_from_half_A,0.25,5,132,126,0.6137566137566137,0.3020142830983336,0.931421907185266,,,,,,,,
split_alternating_prior_only,0.25,5,132,126,0.6646825396825397,0.37474798387096775,0.9237341460046945,,,,,,,,
split_alternating_pooled_rate_half_A,0.25,5,132,126,0.5,0.5,0.5,,,,,,,,
split_alternating_clinvar_class_rate_half_A,0.25,5,132,126,0.6593915343915344,0.37325581395348834,0.9238041698719845,,,,,,,,
split_alternating_clinvar_ordinal,0.25,5,132,126,0.6891534391534392,0.4795513425349831,0.8721668157423971,,,,,,,,
clinvar_ordinal,0.5,5,207,128,0.8143295094936709,0.7569345404652347,0.8720177813031855,,,,,,,,
clinvar_plp_binary,0.5,5,207,128,0.8109177215189873,0.756424559533362,0.8660089205058717,0.875,0.7468354430379747,0.8484848484848485,0.7866666666666666,112.0,20.0,16.0,59.0
alphamissense_missense_only,0.5,5,189,118,0.8460253043685844,0.776261249241935,0.9048559933232553,,,,,,,,
insilico_posterior_mean_in_sample_LEAKY,0.5,5,259,163,0.9017126789366053,0.8622203880711556,0.9365431989031533,,,,,,,,
base_oof_prior,0.5,5,259,163,0.4833205521472393,0.41149826633177616,0.5513391376315119,,,,,,,,
class_oof_prior,0.5,5,259,163,0.4899028629856851,0.4171019858078002,0.5664660521970311,,,,,,,,
insilico_oof_prior,0.5,5,259,163,0.8033614519427403,0.740422078161727,0.8605716996583069,,,,,,,,
clinvar_oof_prior,0.5,5,259,163,0.7358767893660532,0.6665866973489746,0.8101720245902209,,,,,,,,
insilico_clinvar_oof_prior,0.5,5,259,163,0.7891104294478528,0.7223752488732259,0.8499363624601475,,,,,,,,
split_alternating_posterior_from_half_A,0.5,5,132,113,0.5952491849091756,0.4397103889225181,0.7415255262473053,,,,,,,,
split_alternating_prior_only,0.5,5,132,113,0.5917559385188635,0.44362610048573164,0.7424398301544822,,,,,,,,
split_alternating_pooled_rate_half_A,0.5,5,132,113,0.5,0.5,0.5,,,,,,,,
split_alternating_clinvar_class_rate_half_A,0.5,5,132,113,0.5384257102934327,0.3781091969373219,0.6930307760927743,,,,,,,,
split_alternating_clinvar_ordinal,0.5,5,132,113,0.6197019096413601,0.5001933934631545,0.741222893037679,,,,,,,,
clinvar_ordinal,0.75,5,207,84,0.6958478513356562,0.6395786397521774,0.7484542228384723,,,,,,,,
clinvar_plp_binary,0.75,5,207,84,0.6946864111498258,0.6350738573648025,0.7525713164077483,0.8690476190476191,0.5203252032520326,0.553030303030303,0.8533333333333334,73.0,59.0,11.0,64.0
alphamissense_missense_only,0.75,5,189,78,0.7341187341187341,0.6648459238701586,0.807614978103331,,,,,,,,
insilico_posterior_mean_in_sample_LEAKY,0.75,5,259,106,0.8232827722283882,0.7675557664926436,0.8696390454142393,,,,,,,,
base_oof_prior,0.75,5,259,106,0.4689850783080528,0.3970080523410639,0.5431281330704746,,,,,,,,
class_oof_prior,0.75,5,259,106,0.47052657541003823,0.39815244895846696,0.5407032926378098,,,,,,,,
insilico_oof_prior,0.75,5,259,106,0.7083487483043532,0.6430540321720158,0.7727038540295451,,,,,,,,
clinvar_oof_prior,0.75,5,259,106,0.6321371315821926,0.5656072172046757,0.6998782675495909,,,,,,,,
insilico_clinvar_oof_prior,0.75,5,259,106,0.6980515476630904,0.6370103746799708,0.7601698203441524,,,,,,,,
split_alternating_posterior_from_half_A,0.75,5,132,91,0.5861699276333423,0.46953151646333463,0.699759714963221,,,,,,,,
split_alternating_prior_only,0.75,5,132,91,0.5659340659340659,0.46333345709049545,0.6807793130165289,,,,,,,,
split_alternating_pooled_rate_half_A,0.75,5,132,91,0.5,0.5,0.5,,,,,,,,
split_alternating_clinvar_class_rate_half_A,0.75,5,132,91,0.5510586974001608,0.43226493464653903,0.6617071935157042,,,,,,,,
split_alternating_clinvar_ordinal,0.75,5,132,91,0.6399088716161887,0.5459549869513195,0.728308475378788,,,,,,,,
