model,evaluation,unit,n_variants,n_rows,n_carriers,nll_per_carrier,brier_per_carrier,brier_per_variant,mean_variant_log_loss,lpd_per_row,lpd_per_carrier,calibration_intercept,calibration_slope,cv_max_r_hat,cv_divergences,delta,delta_ci_lower,delta_ci_upper
base,oof_prior_predictive,variant_x_paper_rows,691,1505.0,17601,0.8228143620054054,0.26970360192788717,0.15064943723464544,0.5606107732273442,-1.2185032574481283,-0.10418995525591915,,,1.03,0.0,,,
class,oof_prior_predictive,variant_x_paper_rows,691,1505.0,17601,0.8212629742497553,0.2690417600001021,0.151023693683482,0.5614716928805734,-1.2106504757356422,-0.10351849133470495,-1.959963292168917,2.0115940744688565,1.08,0.0,,,
insilico,oof_prior_predictive,variant_x_paper_rows,691,1505.0,17601,0.5846188212994782,0.1538753896120932,0.14792618961678428,0.5517822289330324,-1.2165927623666786,-0.10402659549808824,-1.2142044557976823,1.5393488516074623,1.06,0.0,,,
clinvar,oof_prior_predictive,variant_x_paper_rows,691,1505.0,17601,0.44472763211793154,0.09613004341815229,0.1487118944810552,0.5546386899049802,-1.222927131458676,-0.10456822526250255,-1.0426820753033919,2.0731738898210397,1.01,0.0,,,
insilico_clinvar,oof_prior_predictive,variant_x_paper_rows,691,1505.0,17601,0.4324151173707949,0.09553493898588131,0.14852284933728452,0.5555185619554335,-1.2319147671145778,-0.10533672657845802,-0.9312068675399622,1.759169586507075,1.01,0.0,,,
class,delta_nll_per_carrier_vs_base,variant_x_paper_rows,691,1505.0,17601,,,,,,,,,,,-0.0015513877556501707,-0.01181919608827176,0.009007498876595195
insilico,delta_nll_per_carrier_vs_base,variant_x_paper_rows,691,1505.0,17601,,,,,,,,,,,-0.23819554070592722,-0.4226608433045968,-0.01687455345711631
clinvar,delta_nll_per_carrier_vs_base,variant_x_paper_rows,691,1505.0,17601,,,,,,,,,,,-0.3780867298874738,-0.5332669733342726,-0.13115179649148417
insilico_clinvar,delta_nll_per_carrier_vs_base,variant_x_paper_rows,691,1505.0,17601,,,,,,,,,,,-0.39039924463461045,-0.5717202543444981,-0.1608361845417992
base,delta_nll_per_carrier_vs_clinvar,variant_x_paper_rows,691,1505.0,17601,,,,,,,,,,,0.3780867298874738,0.14380750845222615,0.5395162638584566
class,delta_nll_per_carrier_vs_clinvar,variant_x_paper_rows,691,1505.0,17601,,,,,,,,,,,0.37653534213182366,0.15257051267561522,0.5481988469005111
insilico,delta_nll_per_carrier_vs_clinvar,variant_x_paper_rows,691,1505.0,17601,,,,,,,,,,,0.13989118918154664,0.007987370998964707,0.3157922289441689
insilico_clinvar,delta_nll_per_carrier_vs_clinvar,variant_x_paper_rows,691,1505.0,17601,,,,,,,,,,,-0.01231251474713662,-0.058310614555586754,0.05681602202093078
posterior_from_half_A,split_paper_half_B,alternating,132,,3774,0.8134712286179695,0.14267011661773984,0.15971236317290588,0.7826094674164432,,,,,,,,,
prior_only,split_paper_half_B,alternating,132,,3774,0.5233508846918328,0.040140075898025394,0.08529727634192369,0.5249459439750165,,,,,,,,,
pooled_rate_half_A,split_paper_half_B,alternating,132,,3774,0.8818447245711318,0.21210130883105713,0.25806999543058357,0.8862734334077086,,,,,,,,,
clinvar_class_rate_half_A,split_paper_half_B,alternating,132,,3774,0.5766607906065193,0.045794139254207035,0.10950046122800411,0.62922052480635,,,,,,,,,
posterior_from_half_A,split_delta_nll_vs_clinvar_class_rate,alternating,132,,3774,,,,,,,,,,,0.23681043801145021,0.06913495600592438,0.34922413152787574
posterior_from_half_A,split_delta_nll_vs_pooled_rate,alternating,132,,3774,,,,,,,,,,,-0.06837349595316233,-0.28425115205356155,0.08616387983284732
posterior_from_half_A,split_delta_nll_vs_prior_only,alternating,132,,3774,,,,,,,,,,,0.29012034392613667,0.11697492927421954,0.42052620453591627
